preference_id,tenant_id,preferred_city,preferred_property_type,min_bedrooms,max_budget,preferred_furnishing,parking_required,amenity_preference,max_commute_distance_km
TP00051,T00051,Chennai,VILLA,3,60964,SEMI_FURNISHED,False,CLUBHOUSE,25.7
TP00052,T00052,Bangalore,PG,1,89075,SEMI_FURNISHED,False,AIR_CONDITIONING,26.5
TP00053,T00053,Bangalore,PG,2,110111,UNFURNISHED,True,PARKING,12.9
TP00054,T00054,Hyderabad,APARTMENT,1,16932,FULLY_FURNISHED,False,SWIMMING_POOL,7.9
TP00055,T00055,Kolkata,PG,3,16125,FULLY_FURNISHED,True,CLUBHOUSE,5.5
TP00056,T00056,Kolkata,PG,3,91752,SEMI_FURNISHED,True,WIFI,6.4
TP00057,T00057,Chennai,VILLA,2,57870,FULLY_FURNISHED,True,SECURITY,3.3
TP00058,T00058,Hyderabad,VILLA,1,65819,UNFURNISHED,False,SWIMMING_POOL,10.8
TP00059,T00059,Mumbai,HOUSE,1,90601,FULLY_FURNISHED,True,LIFT,9.5
TP00060,T00060,Delhi,HOUSE,2,119460,SEMI_FURNISHED,False,AIR_CONDITIONING,7.9
TP00061,T00061,Chennai,VILLA,1,90743,UNFURNISHED,False,POWER_BACKUP,6.7
TP00062,T00062,Bangalore,HOUSE,3,14579,SEMI_FURNISHED,False,SECURITY,27.9
TP00063,T00063,Chennai,PG,2,79796,UNFURNISHED,False,SWIMMING_POOL,16.3
TP00064,T00064,Delhi,VILLA,3,21228,FULLY_FURNISHED,False,AIR_CONDITIONING,2.8
TP00065,T00065,Chennai,HOUSE,2,42654,FULLY_FURNISHED,True,LIFT,12.8
TP00066,T00066,Mumbai,APARTMENT,2,29302,SEMI_FURNISHED,False,WIFI,28.0
TP00067,T00067,Mumbai,HOUSE,3,48395,FULLY_FURNISHED,False,GYM,22.1
TP00068,T00068,Mumbai,VILLA,2,65616,UNFURNISHED,False,GARDEN,4.5
TP00069,T00069,Bangalore,HOUSE,2,59674,FULLY_FURNISHED,False,AIR_CONDITIONING,15.4
TP00070,T00070,Chennai,APARTMENT,1,84151,SEMI_FURNISHED,False,LIFT,4.8
TP00071,T00071,Mumbai,PG,2,87280,UNFURNISHED,False,SWIMMING_POOL,17.5
TP00072,T00072,Mumbai,PG,1,75328,UNFURNISHED,False,POWER_BACKUP,3.0
TP00073,T00073,Delhi,PG,1,42628,SEMI_FURNISHED,False,GYM,23.7
TP00074,T00074,Delhi,VILLA,2,18183,FULLY_FURNISHED,False,SECURITY,13.0
TP00075,T00075,Bangalore,APARTMENT,3,74948,SEMI_FURNISHED,False,GARDEN,29.8
TP00076,T00076,Kolkata,PG,2,25613,UNFURNISHED,False,WIFI,3.3
TP00077,T00077,Chennai,APARTMENT,2,60235,UNFURNISHED,False,LIFT,13.2
TP00078,T00078,Hyderabad,PG,2,27350,UNFURNISHED,True,SECURITY,17.6
TP00079,T00079,Mumbai,PG,2,71789,SEMI_FURNISHED,True,LIFT,8.9
TP00080,T00080,Delhi,VILLA,1,30631,SEMI_FURNISHED,True,POWER_BACKUP,9.4
TP00081,T00081,Mumbai,APARTMENT,2,90992,SEMI_FURNISHED,False,AIR_CONDITIONING,11.3
TP00082,T00082,Chennai,HOUSE,2,24854,SEMI_FURNISHED,False,POWER_BACKUP,2.7
TP00083,T00083,Kolkata,VILLA,2,81780,FULLY_FURNISHED,False,GYM,29.9
TP00084,T00084,Mumbai,VILLA,1,65951,FULLY_FURNISHED,True,CLUBHOUSE,6.8
TP00085,T00085,Mumbai,PG,3,112064,UNFURNISHED,False,GARDEN,5.6
TP00086,T00086,Kolkata,VILLA,3,71255,UNFURNISHED,False,CLUBHOUSE,23.4
TP00087,T00087,Mumbai,VILLA,2,27715,FULLY_FURNISHED,True,AIR_CONDITIONING,11.1
TP00088,T00088,Chennai,PG,1,93082,SEMI_FURNISHED,True,SWIMMING_POOL,23.2
TP00089,T00089,Hyderabad,HOUSE,3,40381,UNFURNISHED,False,GYM,19.1
TP00090,T00090,Hyderabad,PG,1,73029,FULLY_FURNISHED,True,PARKING,18.1
TP00091,T00091,Hyderabad,HOUSE,2,115338,UNFURNISHED,False,CLUBHOUSE,23.2
TP00092,T00092,Bangalore,VILLA,2,92851,FULLY_FURNISHED,False,LIFT,27.7
TP00093,T00093,Hyderabad,PG,3,39797,SEMI_FURNISHED,True,SECURITY,15.3
TP00094,T00094,Bangalore,HOUSE,1,19667,SEMI_FURNISHED,True,LIFT,26.7
TP00095,T00095,Kolkata,VILLA,2,41061,FULLY_FURNISHED,False,PARKING,19.6
TP00096,T00096,Hyderabad,HOUSE,3,118021,SEMI_FURNISHED,True,GARDEN,26.7
TP00097,T00097,Delhi,HOUSE,3,111881,UNFURNISHED,True,PARKING,17.3
TP00098,T00098,Bangalore,HOUSE,2,103467,UNFURNISHED,False,PARKING,17.3
TP00099,T00099,Delhi,APARTMENT,1,65702,FULLY_FURNISHED,False,SECURITY,21.6
TP00100,T00100,Hyderabad,HOUSE,3,40441,FULLY_FURNISHED,False,POWER_BACKUP,21.5
TP00101,T00101,Kolkata,PG,2,51482,UNFURNISHED,True,AIR_CONDITIONING,11.3
TP00102,T00102,Kolkata,PG,2,90703,FULLY_FURNISHED,False,GYM,12.4
TP00103,T00103,Hyderabad,HOUSE,2,117446,FULLY_FURNISHED,True,GARDEN,27.0
TP00104,T00104,Delhi,PG,1,63575,FULLY_FURNISHED,True,AIR_CONDITIONING,29.3
TP00105,T00105,Hyderabad,VILLA,1,75431,FULLY_FURNISHED,False,GARDEN,20.4
TP00106,T00106,Chennai,APARTMENT,3,38515,SEMI_FURNISHED,False,GYM,8.9
TP00107,T00107,Chennai,VILLA,2,21424,FULLY_FURNISHED,False,PARKING,2.7
TP00108,T00108,Kolkata,HOUSE,2,112219,UNFURNISHED,False,GYM,10.3
TP00109,T00109,Hyderabad,APARTMENT,1,62513,SEMI_FURNISHED,True,SWIMMING_POOL,13.5
TP00110,T00110,Hyderabad,APARTMENT,2,60856,UNFURNISHED,True,LIFT,27.9
TP00111,T00111,Hyderabad,HOUSE,2,116372,SEMI_FURNISHED,True,GARDEN,21.9
TP00112,T00112,Chennai,PG,1,41101,SEMI_FURNISHED,True,WIFI,22.3
TP00113,T00113,Chennai,VILLA,2,87350,FULLY_FURNISHED,True,POWER_BACKUP,18.5
TP00114,T00114,Chennai,APARTMENT,2,79724,SEMI_FURNISHED,True,LIFT,9.6
TP00115,T00115,Mumbai,PG,2,25883,UNFURNISHED,True,PARKING,16.1
TP00116,T00116,Delhi,APARTMENT,2,19554,SEMI_FURNISHED,False,POWER_BACKUP,26.1
TP00117,T00117,Hyderabad,HOUSE,3,115042,FULLY_FURNISHED,False,POWER_BACKUP,29.2
TP00118,T00118,Kolkata,APARTMENT,3,41466,SEMI_FURNISHED,True,CLUBHOUSE,20.6
TP00119,T00119,Kolkata,HOUSE,2,22730,FULLY_FURNISHED,False,SWIMMING_POOL,6.3
TP00120,T00120,Mumbai,VILLA,3,38624,FULLY_FURNISHED,True,SECURITY,13.6
TP00121,T00121,Chennai,APARTMENT,1,35581,SEMI_FURNISHED,True,SWIMMING_POOL,2.3
TP00122,T00122,Chennai,APARTMENT,3,57135,SEMI_FURNISHED,False,SECURITY,29.8
TP00123,T00123,Bangalore,HOUSE,3,18941,FULLY_FURNISHED,False,GARDEN,26.7
TP00124,T00124,Hyderabad,HOUSE,3,38310,SEMI_FURNISHED,False,SWIMMING_POOL,25.3
TP00125,T00125,Bangalore,APARTMENT,3,77397,UNFURNISHED,False,CLUBHOUSE,13.8
TP00126,T00126,Mumbai,VILLA,2,104901,FULLY_FURNISHED,False,SECURITY,16.6
TP00127,T00127,Chennai,PG,1,83589,SEMI_FURNISHED,False,CLUBHOUSE,23.5
TP00128,T00128,Chennai,APARTMENT,1,65897,SEMI_FURNISHED,True,LIFT,2.2
TP00129,T00129,Kolkata,APARTMENT,2,70022,FULLY_FURNISHED,False,AIR_CONDITIONING,21.1
TP00130,T00130,Kolkata,APARTMENT,3,60765,FULLY_FURNISHED,False,WIFI,16.4
TP00131,T00131,Chennai,HOUSE,3,13724,SEMI_FURNISHED,True,CLUBHOUSE,27.2
TP00132,T00132,Delhi,APARTMENT,2,13094,SEMI_FURNISHED,False,PARKING,22.2
TP00133,T00133,Kolkata,PG,1,41710,UNFURNISHED,True,POWER_BACKUP,2.2
TP00134,T00134,Delhi,VILLA,1,21136,SEMI_FURNISHED,False,LIFT,2.7
TP00135,T00135,Mumbai,APARTMENT,2,72812,SEMI_FURNISHED,False,LIFT,20.1
TP00136,T00136,Kolkata,HOUSE,3,106249,UNFURNISHED,False,WIFI,14.0
TP00137,T00137,Kolkata,HOUSE,3,110878,FULLY_FURNISHED,False,SWIMMING_POOL,13.4
TP00138,T00138,Chennai,VILLA,3,96200,UNFURNISHED,False,GYM,28.4
TP00139,T00139,Bangalore,VILLA,1,87484,FULLY_FURNISHED,False,GYM,14.8
TP00140,T00140,Hyderabad,APARTMENT,2,79328,UNFURNISHED,False,SECURITY,3.2
TP00141,T00141,Bangalore,APARTMENT,3,104435,SEMI_FURNISHED,True,SECURITY,22.3
TP00142,T00142,Mumbai,PG,2,86881,UNFURNISHED,False,SECURITY,4.2
TP00143,T00143,Chennai,PG,2,111913,FULLY_FURNISHED,True,GYM,19.1
TP00144,T00144,Hyderabad,PG,1,100625,FULLY_FURNISHED,True,CLUBHOUSE,11.5
TP00145,T00145,Hyderabad,APARTMENT,1,112058,FULLY_FURNISHED,True,WIFI,27.1
TP00146,T00146,Kolkata,HOUSE,1,58754,UNFURNISHED,False,SWIMMING_POOL,23.0
TP00147,T00147,Chennai,PG,2,68606,UNFURNISHED,False,GYM,28.0
TP00148,T00148,Delhi,VILLA,1,99596,SEMI_FURNISHED,True,LIFT,10.0
TP00149,T00149,Hyderabad,HOUSE,2,22713,SEMI_FURNISHED,False,CLUBHOUSE,29.2
TP00150,T00150,Delhi,VILLA,1,42078,FULLY_FURNISHED,False,SWIMMING_POOL,15.7
TP00151,T00151,Bangalore,HOUSE,3,40550,SEMI_FURNISHED,True,CLUBHOUSE,17.0
TP00152,T00152,Bangalore,HOUSE,3,35056,FULLY_FURNISHED,True,POWER_BACKUP,7.0
TP00153,T00153,Mumbai,HOUSE,3,16986,UNFURNISHED,False,SWIMMING_POOL,5.0
TP00154,T00154,Hyderabad,VILLA,3,37495,UNFURNISHED,False,GYM,12.4
TP00155,T00155,Chennai,VILLA,2,31544,SEMI_FURNISHED,False,LIFT,19.1
TP00156,T00156,Delhi,PG,1,33642,SEMI_FURNISHED,False,SECURITY,22.2
TP00157,T00157,Delhi,HOUSE,2,78037,FULLY_FURNISHED,False,GYM,20.5
TP00158,T00158,Delhi,APARTMENT,3,64752,UNFURNISHED,False,LIFT,5.9
TP00159,T00159,Kolkata,VILLA,1,32253,UNFURNISHED,False,SWIMMING_POOL,2.8
TP00160,T00160,Bangalore,VILLA,3,59190,UNFURNISHED,True,LIFT,21.5
TP00161,T00161,Kolkata,HOUSE,1,74883,FULLY_FURNISHED,True,GYM,8.6
TP00162,T00162,Chennai,VILLA,2,58017,UNFURNISHED,False,GYM,6.4
TP00163,T00163,Mumbai,APARTMENT,1,44976,FULLY_FURNISHED,False,WIFI,29.8
TP00164,T00164,Hyderabad,PG,1,114331,FULLY_FURNISHED,False,GARDEN,24.3
TP00165,T00165,Kolkata,VILLA,2,51285,SEMI_FURNISHED,False,SECURITY,4.6
TP00166,T00166,Hyderabad,PG,3,36006,SEMI_FURNISHED,False,CLUBHOUSE,8.5
TP00167,T00167,Bangalore,HOUSE,3,43303,FULLY_FURNISHED,False,WIFI,24.3
TP00168,T00168,Mumbai,HOUSE,3,116840,FULLY_FURNISHED,True,SWIMMING_POOL,5.6
TP00169,T00169,Chennai,VILLA,1,33131,SEMI_FURNISHED,True,GYM,24.8
TP00170,T00170,Chennai,VILLA,1,76883,SEMI_FURNISHED,True,LIFT,4.7
TP00171,T00171,Bangalore,PG,3,19795,FULLY_FURNISHED,True,LIFT,4.6
TP00172,T00172,Mumbai,APARTMENT,2,21179,UNFURNISHED,False,GYM,14.5
TP00173,T00173,Chennai,VILLA,3,32817,UNFURNISHED,False,WIFI,14.9
TP00174,T00174,Chennai,HOUSE,3,94001,SEMI_FURNISHED,True,PARKING,26.1
TP00175,T00175,Hyderabad,HOUSE,3,58790,SEMI_FURNISHED,False,GARDEN,8.9
TP00176,T00176,Kolkata,APARTMENT,3,30866,SEMI_FURNISHED,False,WIFI,17.3
TP00177,T00177,Kolkata,VILLA,2,56153,SEMI_FURNISHED,True,POWER_BACKUP,2.6
TP00178,T00178,Hyderabad,VILLA,2,49635,UNFURNISHED,False,GYM,2.4
TP00179,T00179,Mumbai,VILLA,3,83512,UNFURNISHED,True,GYM,23.0
TP00180,T00180,Hyderabad,APARTMENT,3,104345,SEMI_FURNISHED,True,WIFI,19.4
TP00181,T00181,Bangalore,HOUSE,2,79313,UNFURNISHED,False,CLUBHOUSE,14.1
TP00182,T00182,Mumbai,HOUSE,2,87615,FULLY_FURNISHED,True,WIFI,16.4
TP00183,T00183,Bangalore,PG,2,81271,SEMI_FURNISHED,False,GYM,15.5
TP00184,T00184,Kolkata,HOUSE,2,118844,SEMI_FURNISHED,False,PARKING,22.7
TP00185,T00185,Delhi,HOUSE,3,60751,FULLY_FURNISHED,True,SWIMMING_POOL,9.3
TP00186,T00186,Hyderabad,APARTMENT,3,86575,FULLY_FURNISHED,False,GYM,22.0
TP00187,T00187,Hyderabad,HOUSE,1,40168,FULLY_FURNISHED,False,GARDEN,21.2
TP00188,T00188,Mumbai,PG,1,93220,FULLY_FURNISHED,False,GARDEN,12.1
TP00189,T00189,Delhi,VILLA,2,36805,SEMI_FURNISHED,True,SWIMMING_POOL,26.0
TP00190,T00190,Chennai,VILLA,1,105141,FULLY_FURNISHED,False,WIFI,24.2
TP00191,T00191,Chennai,PG,2,93527,FULLY_FURNISHED,False,LIFT,8.7
TP00192,T00192,Chennai,APARTMENT,2,62601,FULLY_FURNISHED,True,POWER_BACKUP,14.1
TP00193,T00193,Bangalore,APARTMENT,3,106661,SEMI_FURNISHED,False,GYM,16.8
TP00194,T00194,Kolkata,HOUSE,1,63387,SEMI_FURNISHED,False,SECURITY,18.0
TP00195,T00195,Bangalore,PG,2,19053,UNFURNISHED,True,WIFI,20.6
TP00196,T00196,Hyderabad,VILLA,3,75498,FULLY_FURNISHED,True,GYM,21.2
TP00197,T00197,Chennai,HOUSE,3,118993,FULLY_FURNISHED,False,LIFT,22.2
TP00198,T00198,Hyderabad,APARTMENT,3,43063,UNFURNISHED,False,GARDEN,5.8
TP00199,T00199,Chennai,APARTMENT,1,16816,UNFURNISHED,False,LIFT,9.3
TP00200,T00200,Bangalore,PG,3,58882,SEMI_FURNISHED,False,POWER_BACKUP,2.7
TP00201,T00201,Chennai,HOUSE,2,47517,FULLY_FURNISHED,False,AIR_CONDITIONING,6.3
TP00202,T00202,Hyderabad,HOUSE,2,73869,FULLY_FURNISHED,True,LIFT,27.2
TP00203,T00203,Chennai,HOUSE,1,57024,FULLY_FURNISHED,False,SWIMMING_POOL,5.9
TP00204,T00204,Mumbai,HOUSE,3,45636,FULLY_FURNISHED,False,GARDEN,24.3
TP00205,T00205,Mumbai,APARTMENT,2,98954,FULLY_FURNISHED,False,GYM,23.1
TP00206,T00206,Hyderabad,PG,2,84421,UNFURNISHED,False,GYM,27.7
TP00207,T00207,Mumbai,PG,3,40892,SEMI_FURNISHED,False,WIFI,6.8
TP00208,T00208,Delhi,HOUSE,2,32380,FULLY_FURNISHED,False,POWER_BACKUP,28.1
TP00209,T00209,Hyderabad,HOUSE,2,40792,SEMI_FURNISHED,True,CLUBHOUSE,10.4
TP00210,T00210,Kolkata,HOUSE,2,12927,FULLY_FURNISHED,False,SWIMMING_POOL,17.2
TP00211,T00211,Chennai,HOUSE,1,56015,UNFURNISHED,False,LIFT,3.0
TP00212,T00212,Chennai,HOUSE,1,76835,UNFURNISHED,True,LIFT,9.5
TP00213,T00213,Hyderabad,HOUSE,3,79712,UNFURNISHED,False,SWIMMING_POOL,6.8
TP00214,T00214,Bangalore,APARTMENT,3,12537,SEMI_FURNISHED,False,POWER_BACKUP,29.8
TP00215,T00215,Chennai,PG,1,113989,UNFURNISHED,False,GARDEN,2.3
TP00216,T00216,Hyderabad,HOUSE,3,23174,SEMI_FURNISHED,False,LIFT,11.9
TP00217,T00217,Mumbai,PG,2,60652,UNFURNISHED,True,SECURITY,10.8
TP00218,T00218,Chennai,VILLA,2,83842,UNFURNISHED,False,AIR_CONDITIONING,24.7
TP00219,T00219,Mumbai,HOUSE,2,31261,UNFURNISHED,False,GARDEN,23.9
TP00220,T00220,Chennai,APARTMENT,2,94237,UNFURNISHED,True,LIFT,25.1
TP00221,T00221,Delhi,VILLA,3,90123,FULLY_FURNISHED,True,GARDEN,29.4
TP00222,T00222,Kolkata,PG,1,29554,FULLY_FURNISHED,False,AIR_CONDITIONING,11.5
TP00223,T00223,Bangalore,PG,2,39947,UNFURNISHED,False,CLUBHOUSE,6.4
TP00224,T00224,Hyderabad,VILLA,3,89462,FULLY_FURNISHED,False,POWER_BACKUP,28.6
TP00225,T00225,Hyderabad,PG,2,72456,FULLY_FURNISHED,True,PARKING,28.1
TP00226,T00226,Hyderabad,PG,1,92201,FULLY_FURNISHED,True,SECURITY,19.7
TP00227,T00227,Mumbai,PG,3,24229,FULLY_FURNISHED,False,WIFI,29.9
TP00228,T00228,Chennai,HOUSE,3,38592,FULLY_FURNISHED,True,POWER_BACKUP,29.8
TP00229,T00229,Chennai,HOUSE,3,110503,SEMI_FURNISHED,True,PARKING,17.8
TP00230,T00230,Mumbai,VILLA,2,58764,SEMI_FURNISHED,True,GYM,4.4
TP00231,T00231,Hyderabad,VILLA,2,68376,SEMI_FURNISHED,False,POWER_BACKUP,2.5
TP00232,T00232,Chennai,APARTMENT,1,54305,FULLY_FURNISHED,False,LIFT,9.1
TP00233,T00233,Chennai,HOUSE,3,38646,FULLY_FURNISHED,True,WIFI,16.4
TP00234,T00234,Kolkata,APARTMENT,1,20849,FULLY_FURNISHED,False,GYM,22.3
TP00235,T00235,Chennai,VILLA,1,80139,SEMI_FURNISHED,False,AIR_CONDITIONING,11.5
TP00236,T00236,Delhi,APARTMENT,2,39652,SEMI_FURNISHED,False,POWER_BACKUP,11.1
TP00237,T00237,Delhi,VILLA,3,101371,UNFURNISHED,False,PARKING,12.6
TP00238,T00238,Kolkata,HOUSE,1,89543,SEMI_FURNISHED,False,GYM,12.1
TP00239,T00239,Hyderabad,APARTMENT,2,84552,SEMI_FURNISHED,False,CLUBHOUSE,20.7
TP00240,T00240,Bangalore,APARTMENT,2,20796,SEMI_FURNISHED,True,WIFI,6.4
TP00241,T00241,Hyderabad,VILLA,2,94166,SEMI_FURNISHED,True,SWIMMING_POOL,11.4
TP00242,T00242,Mumbai,VILLA,2,62295,SEMI_FURNISHED,False,AIR_CONDITIONING,19.1
TP00243,T00243,Bangalore,PG,3,110113,FULLY_FURNISHED,True,SWIMMING_POOL,22.1
TP00244,T00244,Delhi,PG,1,91685,FULLY_FURNISHED,True,AIR_CONDITIONING,3.4
TP00245,T00245,Bangalore,HOUSE,2,111648,UNFURNISHED,False,GARDEN,24.6
TP00246,T00246,Hyderabad,PG,1,44652,UNFURNISHED,False,CLUBHOUSE,16.4
TP00247,T00247,Mumbai,HOUSE,3,89774,UNFURNISHED,False,WIFI,30.0
TP00248,T00248,Delhi,APARTMENT,2,76098,SEMI_FURNISHED,True,LIFT,23.8
TP00249,T00249,Bangalore,HOUSE,3,25621,FULLY_FURNISHED,True,CLUBHOUSE,4.0
TP00250,T00250,Mumbai,HOUSE,2,60769,UNFURNISHED,False,LIFT,20.9
TP00251,T00251,Hyderabad,APARTMENT,1,49620,UNFURNISHED,False,PARKING,21.2
TP00252,T00252,Bangalore,PG,2,86730,SEMI_FURNISHED,True,LIFT,5.7
TP00253,T00253,Bangalore,VILLA,2,118607,SEMI_FURNISHED,True,GARDEN,15.3
TP00254,T00254,Delhi,PG,3,45941,UNFURNISHED,True,LIFT,27.5
TP00255,T00255,Kolkata,PG,3,115199,SEMI_FURNISHED,False,AIR_CONDITIONING,16.1
TP00256,T00256,Bangalore,HOUSE,2,60629,UNFURNISHED,False,CLUBHOUSE,8.8
TP00257,T00257,Delhi,APARTMENT,2,50733,UNFURNISHED,True,GYM,27.0
TP00258,T00258,Bangalore,APARTMENT,1,80721,SEMI_FURNISHED,True,SWIMMING_POOL,18.8
TP00259,T00259,Hyderabad,PG,2,87089,SEMI_FURNISHED,True,LIFT,13.8
TP00260,T00260,Hyderabad,APARTMENT,1,70928,SEMI_FURNISHED,False,LIFT,17.0
TP00261,T00261,Hyderabad,APARTMENT,3,46648,FULLY_FURNISHED,False,LIFT,27.9
TP00262,T00262,Kolkata,PG,1,70252,FULLY_FURNISHED,True,SWIMMING_POOL,7.9
TP00263,T00263,Delhi,APARTMENT,1,100743,UNFURNISHED,True,LIFT,21.9
TP00264,T00264,Kolkata,APARTMENT,3,95363,SEMI_FURNISHED,False,LIFT,16.5
TP00265,T00265,Mumbai,APARTMENT,2,19414,UNFURNISHED,False,PARKING,24.6
TP00266,T00266,Mumbai,PG,2,17876,UNFURNISHED,True,POWER_BACKUP,29.2
TP00267,T00267,Mumbai,VILLA,3,45534,FULLY_FURNISHED,True,SECURITY,6.8
TP00268,T00268,Delhi,APARTMENT,2,107341,FULLY_FURNISHED,False,GARDEN,20.9
TP00269,T00269,Chennai,VILLA,3,65604,SEMI_FURNISHED,False,PARKING,25.5
TP00270,T00270,Hyderabad,HOUSE,1,28608,FULLY_FURNISHED,True,PARKING,2.9
TP00271,T00271,Delhi,VILLA,3,36269,FULLY_FURNISHED,False,PARKING,3.3
TP00272,T00272,Chennai,HOUSE,1,58944,UNFURNISHED,True,LIFT,6.5
TP00273,T00273,Chennai,APARTMENT,2,77931,UNFURNISHED,False,WIFI,28.2
TP00274,T00274,Mumbai,PG,3,115440,SEMI_FURNISHED,False,SWIMMING_POOL,17.2
TP00275,T00275,Bangalore,PG,1,36139,SEMI_FURNISHED,True,PARKING,27.7
TP00276,T00276,Delhi,APARTMENT,3,24336,FULLY_FURNISHED,False,GYM,2.9
TP00277,T00277,Chennai,APARTMENT,2,29700,FULLY_FURNISHED,True,POWER_BACKUP,18.1
TP00278,T00278,Chennai,HOUSE,1,71830,FULLY_FURNISHED,False,GARDEN,17.3
TP00279,T00279,Chennai,VILLA,1,48901,SEMI_FURNISHED,False,GYM,7.0
TP00280,T00280,Bangalore,PG,2,108795,FULLY_FURNISHED,True,WIFI,15.1
TP00281,T00281,Delhi,VILLA,3,29822,SEMI_FURNISHED,False,GARDEN,23.0
