property_id,source_record_id,data_source,property_name,property_type,area_locality,city,area_type,size_sqft,bedrooms_bhk,bathrooms,floor,total_floors,furnishing_status,tenant_preferred,point_of_contact,monthly_rent,parking_available,property_age_years,posted_on,rent_per_sqft,estimated_annual_rent,property_age_bucket,amenity_parking,amenity_lift,amenity_gym,amenity_security,amenity_power_backup,amenity_air_conditioning,amenity_wifi,amenity_garden,amenity_count,property_type_data_source,parking_data_source,property_age_data_source
P00012,S02391,real_source,Property_00012,PG,"Ganesh Nagar, Tilak Nagar",Delhi,Super Area,200,1,1,0,1,Unfurnished,Bachelors/Family,Contact Owner,3500,False,8,2022-05-14,17.5,42000,6-10,False,True,False,False,True,True,False,True,4,synthetic,synthetic,synthetic
P00013,S02433,real_source,Property_00013,APARTMENT,dwarka sector 8 Raj Nagar extension part 2,Delhi,Carpet Area,600,2,2,1,4,Unfurnished,Bachelors,Contact Owner,15500,False,12,2022-06-20,25.83,186000,11-20,True,False,True,False,False,False,True,False,3,synthetic,synthetic,synthetic
P00014,S01184,real_source,Property_00014,APARTMENT,"Promenade At The Address, Ghatkopar West",Mumbai,Carpet Area,649,2,2,5,22,Semi-Furnished,Bachelors,Contact Agent,56000,False,7,2022-06-12,86.29,672000,6-10,False,True,False,False,False,False,False,True,2,synthetic,synthetic,synthetic
P00015,S04555,real_source,Property_00015,APARTMENT,Vandanapuri colony,Hyderabad,Super Area,650,2,2,3,5,Unfurnished,Bachelors/Family,Contact Owner,10000,True,5,2022-06-10,15.38,120000,0-5,True,False,True,True,False,True,True,False,5,synthetic,synthetic,synthetic
P00016,S03385,real_source,Property_00016,HOUSE,"Chromepet, GST Road",Chennai,Carpet Area,1300,3,3,9,19,Unfurnished,Bachelors/Family,Contact Agent,38000,True,3,2022-07-10,29.23,456000,0-5,True,True,True,False,False,True,False,False,4,synthetic,synthetic,synthetic
P00017,S04117,real_source,Property_00017,APARTMENT,Jubilee Hills,Hyderabad,Carpet Area,200,3,3,1,5,Unfurnished,Bachelors,Contact Agent,37000,False,3,2022-07-02,185.0,444000,0-5,False,False,False,False,True,True,False,True,3,synthetic,synthetic,synthetic
P00018,S02904,real_source,Property_00018,APARTMENT,Panchsheel Park,Delhi,Super Area,300,3,3,2,2,Semi-Furnished,Bachelors/Family,Contact Agent,150000,False,13,2022-06-27,500.0,1800000,11-20,False,True,False,True,False,True,False,True,4,synthetic,synthetic,synthetic
P00019,S00474,real_source,Property_00019,APARTMENT,Dum Dum,Kolkata,Super Area,830,3,2,3,4,Unfurnished,Bachelors/Family,Contact Owner,15000,False,7,2022-06-17,18.07,180000,6-10,False,False,True,False,True,False,False,False,2,synthetic,synthetic,synthetic
P00020,S01082,real_source,Property_00020,APARTMENT,"Oberoi Springs, Andheri West",Mumbai,Carpet Area,900,2,2,18,30,Semi-Furnished,Bachelors,Contact Agent,95000,True,5,2022-05-14,105.56,1140000,0-5,False,False,True,False,True,False,False,False,2,synthetic,synthetic,synthetic
P00021,S02558,real_source,Property_00021,HOUSE,Anand Parbat,Delhi,Carpet Area,200,2,1,3,4,Semi-Furnished,Bachelors/Family,Contact Owner,15000,True,26,2022-04-29,75.0,180000,21+,False,False,False,True,False,True,False,False,2,synthetic,synthetic,synthetic
P00022,S02047,real_source,Property_00022,VILLA,Bilekahalli,Bangalore,Super Area,1600,3,3,1,4,Semi-Furnished,Bachelors/Family,Contact Owner,21000,True,21,2022-05-27,13.12,252000,21+,False,False,False,True,True,True,True,False,4,synthetic,synthetic,synthetic
P00023,S02747,real_source,Property_00023,HOUSE,Safdarjung Enclave,Delhi,Carpet Area,1650,2,2,2,4,Furnished,Bachelors,Contact Agent,45000,True,23,2022-07-04,27.27,540000,21+,False,False,False,False,True,False,False,True,2,synthetic,synthetic,synthetic
P00024,S00975,real_source,Property_00024,APARTMENT,"Lodha Fiorenza, Goregaon East",Mumbai,Carpet Area,902,2,2,41,41,Semi-Furnished,Bachelors/Family,Contact Agent,85000,False,11,2022-07-09,94.24,1020000,11-20,True,True,True,False,True,False,False,False,4,synthetic,synthetic,synthetic
P00025,S01806,real_source,Property_00025,HOUSE,Kanakapura Road,Bangalore,Carpet Area,1296,2,2,9,22,Semi-Furnished,Bachelors/Family,Contact Agent,30000,True,17,2022-07-06,23.15,360000,11-20,False,True,True,True,False,True,False,False,4,synthetic,synthetic,synthetic
P00026,S00189,real_source,Property_00026,APARTMENT,Baranagar,Kolkata,Carpet Area,200,1,1,0,1,Furnished,Bachelors/Family,Contact Owner,6500,False,8,2022-05-24,32.5,78000,6-10,True,True,False,False,False,True,True,True,5,synthetic,synthetic,synthetic
P00027,S02734,real_source,Property_00027,APARTMENT,Chhattarpur,Delhi,Super Area,200,3,2,3,4,Semi-Furnished,Bachelors/Family,Contact Owner,15000,False,4,2022-07-04,75.0,180000,0-5,False,False,False,False,True,False,True,False,2,synthetic,synthetic,synthetic
P00028,S03005,real_source,Property_00028,APARTMENT,KK Nagar,Chennai,Carpet Area,920,2,2,2,2,Semi-Furnished,Bachelors/Family,Contact Owner,23000,False,9,2022-06-20,25.0,276000,6-10,False,False,False,True,False,True,True,False,3,synthetic,synthetic,synthetic
P00029,S04658,real_source,Property_00029,APARTMENT,"Naseeb Nagar, Hyderabad",Hyderabad,Super Area,350,1,1,1,3,Semi-Furnished,Bachelors/Family,Contact Owner,6000,True,9,2022-06-14,17.14,72000,6-10,True,True,False,True,False,False,False,False,3,synthetic,synthetic,synthetic
P00030,S01899,real_source,Property_00030,PG,"Electronic City Phase 2, Electronic City",Bangalore,Super Area,700,1,1,1,4,Unfurnished,Bachelors,Contact Owner,6500,True,11,2022-06-30,9.29,78000,11-20,True,True,False,True,True,False,True,False,5,synthetic,synthetic,synthetic
P00031,S01267,real_source,Property_00031,APARTMENT,"Hiranandani Regent Hill, Powai",Mumbai,Carpet Area,379,1,1,21,23,Semi-Furnished,Bachelors,Contact Agent,53000,True,3,2022-06-30,139.84,636000,0-5,False,True,True,False,False,True,True,True,5,synthetic,synthetic,synthetic
P00032,S01528,real_source,Property_00032,APARTMENT,Girinagar,Bangalore,Carpet Area,600,2,2,1,2,Unfurnished,Bachelors,Contact Owner,16000,True,3,2022-06-13,26.67,192000,0-5,True,False,True,False,False,True,False,False,3,synthetic,synthetic,synthetic
P00033,S03202,real_source,Property_00033,APARTMENT,Velachery,Chennai,Super Area,900,2,2,1,2,Unfurnished,Bachelors/Family,Contact Owner,15000,True,8,2022-06-29,16.67,180000,6-10,True,True,True,False,False,True,False,False,4,synthetic,synthetic,synthetic
P00034,S03556,real_source,Property_00034,APARTMENT,Anakaputhur,Chennai,Super Area,800,2,1,0,1,Unfurnished,Bachelors/Family,Contact Owner,15000,False,22,2022-06-28,18.75,180000,21+,True,True,False,False,False,False,True,True,4,synthetic,synthetic,synthetic
P00035,S03890,real_source,Property_00035,APARTMENT,Hyderguda,Hyderabad,Super Area,500,1,1,2,3,Semi-Furnished,Bachelors/Family,Contact Agent,7500,False,11,2022-05-14,15.0,90000,11-20,False,False,False,True,False,False,False,False,1,synthetic,synthetic,synthetic
P00036,S00646,real_source,Property_00036,APARTMENT,Lokhandwala Complex,Mumbai,Carpet Area,825,3,3,20,22,Furnished,Family,Contact Agent,65000,True,4,2022-07-03,78.79,780000,0-5,False,True,False,False,False,True,False,False,2,synthetic,synthetic,synthetic
P00037,S02888,real_source,Property_00037,APARTMENT,Rohini Sector 24,Delhi,Carpet Area,1500,4,2,2,4,Semi-Furnished,Bachelors/Family,Contact Agent,28000,True,7,2022-05-31,18.67,336000,6-10,False,False,False,True,False,True,False,False,2,synthetic,synthetic,synthetic
P00038,S02435,real_source,Property_00038,VILLA,Malviya Nagar,Delhi,Super Area,800,2,2,3,4,Semi-Furnished,Bachelors/Family,Contact Owner,20000,True,19,2022-05-01,25.0,240000,11-20,False,True,False,False,True,False,True,True,4,synthetic,synthetic,synthetic
P00039,S00600,real_source,Property_00039,VILLA,"Anant Bhoomi, Mahavir Nagar",Mumbai,Carpet Area,1600,4,4,9,29,Unfurnished,Family,Contact Agent,120000,True,7,2022-07-09,75.0,1440000,6-10,False,True,False,True,True,False,False,False,3,synthetic,synthetic,synthetic
P00040,S02363,real_source,Property_00040,HOUSE,Basaveshvara Nagar,Bangalore,Super Area,300,1,1,0,1,Unfurnished,Bachelors/Family,Contact Owner,5000,False,29,2022-05-23,16.67,60000,21+,False,False,True,True,False,False,False,False,2,synthetic,synthetic,synthetic
P00041,S02061,real_source,Property_00041,PG,Yemalur,Bangalore,Carpet Area,300,1,1,2,3,Semi-Furnished,Bachelors/Family,Contact Owner,9500,True,6,2022-06-23,31.67,114000,6-10,False,False,False,True,False,False,True,False,2,synthetic,synthetic,synthetic
P00042,S00241,real_source,Property_00042,APARTMENT,Kasba,Kolkata,Carpet Area,620,2,1,0,1,Unfurnished,Bachelors,Contact Owner,8500,True,15,2022-05-22,13.71,102000,11-20,True,False,False,False,True,True,True,False,4,synthetic,synthetic,synthetic
P00043,S02041,real_source,Property_00043,APARTMENT,Kengeri,Bangalore,Carpet Area,200,2,2,1,1,Unfurnished,Bachelors/Family,Contact Owner,10000,True,23,2022-06-26,50.0,120000,21+,False,False,True,False,True,False,False,False,2,synthetic,synthetic,synthetic
P00044,S02824,real_source,Property_00044,APARTMENT,Pitampura,Delhi,Carpet Area,1800,3,2,2,4,Semi-Furnished,Bachelors,Contact Agent,31500,False,19,2022-06-24,17.5,378000,11-20,True,False,False,False,True,True,False,False,3,synthetic,synthetic,synthetic
P00045,S02612,real_source,Property_00045,VILLA,Chhattarpur,Delhi,Super Area,200,2,1,2,4,Unfurnished,Bachelors/Family,Contact Owner,8000,False,20,2022-05-05,40.0,96000,11-20,True,False,False,False,True,False,True,False,3,synthetic,synthetic,synthetic
P00046,S01363,real_source,Property_00046,APARTMENT,Kanjurmarg East,Mumbai,Super Area,575,1,1,14,14,Unfurnished,Bachelors/Family,Contact Owner,22000,False,24,2022-06-16,38.26,264000,21+,False,True,False,True,False,True,True,False,4,synthetic,synthetic,synthetic
P00047,S01478,real_source,Property_00047,HOUSE,Sion East,Mumbai,Carpet Area,550,1,2,6,10,Unfurnished,Bachelors,Contact Agent,38000,False,13,2022-06-17,69.09,456000,11-20,False,False,True,False,False,False,True,True,3,synthetic,synthetic,synthetic
P00048,S02556,real_source,Property_00048,PG,Rohini Sector 38,Delhi,Super Area,200,2,2,0,1,Unfurnished,Bachelors/Family,Contact Owner,8000,True,12,2022-05-27,40.0,96000,11-20,False,False,False,True,True,False,False,True,3,synthetic,synthetic,synthetic
P00049,S00775,real_source,Property_00049,APARTMENT,Andheri West,Mumbai,Super Area,935,2,2,2,6,Furnished,Bachelors/Family,Contact Owner,50000,True,6,2022-06-04,53.48,600000,6-10,False,False,True,True,False,False,True,True,4,synthetic,synthetic,synthetic
P00050,S04014,real_source,Property_00050,APARTMENT,"Jillelguda, Medbowli",Hyderabad,Super Area,1290,2,2,1,2,Semi-Furnished,Bachelors/Family,Contact Owner,9500,True,20,2022-05-25,7.36,114000,11-20,True,False,True,True,False,True,False,True,5,synthetic,synthetic,synthetic
P00051,S00034,real_source,Property_00051,APARTMENT,Dumdum Park,Kolkata,Carpet Area,1100,3,1,2,3,Unfurnished,Bachelors/Family,Contact Owner,22000,True,17,2022-05-10,20.0,264000,11-20,False,True,True,True,True,True,False,False,5,synthetic,synthetic,synthetic
P00052,S03152,real_source,Property_00052,VILLA,Velachery,Chennai,Carpet Area,900,2,2,1,1,Semi-Furnished,Bachelors,Contact Agent,18000,True,19,2022-07-02,20.0,216000,11-20,False,True,True,False,False,True,True,False,4,synthetic,synthetic,synthetic
P00053,S01955,real_source,Property_00053,PG,Banaswadi,Bangalore,Super Area,500,1,1,1,3,Semi-Furnished,Bachelors/Family,Contact Owner,12000,False,11,2022-06-22,24.0,144000,11-20,True,False,False,False,False,False,True,True,3,synthetic,synthetic,synthetic
P00054,S01585,real_source,Property_00054,APARTMENT,Nisarga capital appartment,Bangalore,Carpet Area,1100,2,2,2,5,Unfurnished,Bachelors,Contact Owner,11400,True,7,2022-05-10,10.36,136800,6-10,False,False,False,False,True,False,False,False,1,synthetic,synthetic,synthetic
P00055,S03943,real_source,Property_00055,APARTMENT,in Maruthi Nagar-Dr A.S. Rao Nagar,Hyderabad,Super Area,1000,2,2,3,3,Unfurnished,Bachelors/Family,Contact Owner,12000,True,15,2022-05-24,12.0,144000,11-20,False,True,False,True,False,False,False,False,2,synthetic,synthetic,synthetic
P00056,S03073,real_source,Property_00056,APARTMENT,Raja Annamalai Puram,Chennai,Super Area,1600,3,3,1,2,Semi-Furnished,Bachelors/Family,Contact Owner,40000,True,21,2022-07-08,25.0,480000,21+,False,True,True,True,True,True,False,False,5,synthetic,synthetic,synthetic
P00057,S01021,real_source,Property_00057,APARTMENT,Parel,Mumbai,Super Area,350,1,1,1,8,Unfurnished,Bachelors/Family,Contact Owner,20000,True,16,2022-05-14,57.14,240000,11-20,False,False,False,False,False,False,True,False,1,synthetic,synthetic,synthetic
P00058,S03461,real_source,Property_00058,HOUSE,Choolaimedu,Chennai,Super Area,900,2,2,2,3,Semi-Furnished,Bachelors/Family,Contact Owner,19000,False,15,2022-07-06,21.11,228000,11-20,False,True,True,False,False,False,False,False,2,synthetic,synthetic,synthetic
P00059,S02613,real_source,Property_00059,VILLA,Saket,Delhi,Super Area,200,2,2,2,4,Semi-Furnished,Bachelors/Family,Contact Owner,15500,True,15,2022-05-05,77.5,186000,11-20,False,True,False,False,True,False,False,True,3,synthetic,synthetic,synthetic
P00060,S03843,real_source,Property_00060,APARTMENT,Prestige Bellavista,Chennai,Carpet Area,1600,3,3,11,16,Unfurnished,Bachelors,Contact Owner,40000,True,5,2022-05-06,25.0,480000,0-5,False,False,True,True,False,False,False,True,3,synthetic,synthetic,synthetic
P00061,S01500,real_source,Property_00061,HOUSE,"Chikkalasandra, Bangalore",Bangalore,Super Area,1403,3,3,1,4,Semi-Furnished,Bachelors/Family,Contact Owner,21000,True,8,2022-06-04,14.97,252000,6-10,False,False,True,False,False,False,False,True,2,synthetic,synthetic,synthetic
P00062,S00161,real_source,Property_00062,APARTMENT,Behala,Kolkata,Carpet Area,450,2,2,2,1,Semi-Furnished,Bachelors/Family,Contact Owner,10000,False,5,2022-06-27,22.22,120000,0-5,False,False,False,True,False,False,True,False,2,synthetic,synthetic,synthetic
P00063,S04297,real_source,Property_00063,PG,Moula Ali,Hyderabad,Super Area,200,1,1,0,1,Unfurnished,Bachelors/Family,Contact Owner,3300,True,8,2022-05-12,16.5,39600,6-10,False,True,True,False,False,False,False,False,2,synthetic,synthetic,synthetic
P00064,S01981,real_source,Property_00064,PG,Vijayanagar,Bangalore,Super Area,500,1,1,0,1,Furnished,Bachelors/Family,Contact Owner,5000,True,5,2022-05-19,10.0,60000,0-5,True,False,True,False,True,True,True,False,5,synthetic,synthetic,synthetic
P00065,S00995,real_source,Property_00065,VILLA,"Raj Grandeur, Hiranandani Gardens",Mumbai,Carpet Area,2000,4,5,17,29,Furnished,Bachelors/Family,Contact Agent,200000,True,14,2022-06-28,100.0,2400000,11-20,True,False,True,False,False,False,True,False,3,synthetic,synthetic,synthetic
P00066,S03342,real_source,Property_00066,APARTMENT,Nesapakkam,Chennai,Super Area,750,2,2,4,4,Unfurnished,Bachelors/Family,Contact Owner,12000,False,5,2022-06-17,16.0,144000,0-5,False,False,True,False,False,True,False,False,2,synthetic,synthetic,synthetic
P00067,S04551,real_source,Property_00067,HOUSE,"Siddhi Vinayak Nagar, Madhapur",Hyderabad,Carpet Area,1050,2,2,1,5,Furnished,Bachelors/Family,Contact Owner,25000,False,20,2022-05-02,23.81,300000,11-20,False,False,False,True,False,False,True,True,3,synthetic,synthetic,synthetic
P00068,S03798,real_source,Property_00068,APARTMENT,Anna Nagar,Chennai,Carpet Area,1750,3,3,1,4,Unfurnished,Bachelors,Contact Agent,36000,False,3,2022-06-19,20.57,432000,0-5,True,False,False,False,False,True,False,True,3,synthetic,synthetic,synthetic
P00069,S01275,real_source,Property_00069,APARTMENT,"Indiabulls Blu, Worli",Mumbai,Carpet Area,1500,3,2,20,41,Semi-Furnished,Bachelors/Family,Contact Agent,330000,True,19,2022-06-15,220.0,3960000,11-20,False,True,False,False,True,True,True,True,5,synthetic,synthetic,synthetic
P00070,S01016,real_source,Property_00070,APARTMENT,"Ajmera Bhakti Park, Bhakti Park",Mumbai,Carpet Area,710,2,2,13,18,Semi-Furnished,Bachelors/Family,Contact Agent,44000,True,17,2022-07-09,61.97,528000,11-20,True,False,False,False,False,False,True,True,3,synthetic,synthetic,synthetic
P00071,S00337,real_source,Property_00071,APARTMENT,Sodepur,Kolkata,Super Area,830,2,1,0,1,Unfurnished,Bachelors/Family,Contact Owner,7200,True,18,2022-06-22,8.67,86400,11-20,True,True,True,False,False,True,False,False,4,synthetic,synthetic,synthetic
P00072,S00878,real_source,Property_00072,VILLA,Mulund West,Mumbai,Carpet Area,650,2,2,12,19,Furnished,Bachelors/Family,Contact Agent,40000,True,24,2022-05-13,61.54,480000,21+,True,False,False,False,False,False,False,False,1,synthetic,synthetic,synthetic
P00073,S01076,real_source,Property_00073,HOUSE,Chandivali,Mumbai,Carpet Area,1000,3,2,15,20,Semi-Furnished,Bachelors/Family,Contact Agent,70000,True,7,2022-06-12,70.0,840000,6-10,True,False,False,False,True,False,False,True,3,synthetic,synthetic,synthetic
P00074,S03993,real_source,Property_00074,PG,Gachibowli,Hyderabad,Super Area,500,1,1,2,5,Furnished,Bachelors/Family,Contact Owner,10000,True,14,2022-06-22,20.0,120000,11-20,False,True,False,True,False,False,False,False,2,synthetic,synthetic,synthetic
P00075,S00379,real_source,Property_00075,APARTMENT,Agarpara,Kolkata,Carpet Area,800,2,1,0,1,Furnished,Bachelors/Family,Contact Owner,6500,True,19,2022-06-19,8.12,78000,11-20,False,True,True,False,False,False,True,False,3,synthetic,synthetic,synthetic
P00076,S00492,real_source,Property_00076,APARTMENT,Lake Gardens,Kolkata,Carpet Area,650,2,2,0,1,Semi-Furnished,Bachelors/Family,Contact Owner,13000,False,17,2022-06-15,20.0,156000,11-20,True,False,False,False,True,False,False,False,2,synthetic,synthetic,synthetic
P00077,S02062,real_source,Property_00077,APARTMENT,Abbigere,Bangalore,Carpet Area,1200,2,2,1,3,Semi-Furnished,Bachelors/Family,Contact Owner,12000,True,22,2022-05-30,10.0,144000,21+,False,True,False,True,False,False,True,False,3,synthetic,synthetic,synthetic
P00078,S03884,real_source,Property_00078,APARTMENT,TNGOS Colony,Hyderabad,Carpet Area,1700,3,3,11,17,Furnished,Bachelors/Family,Contact Agent,58000,True,12,2022-07-06,34.12,696000,11-20,True,True,False,True,False,False,False,True,4,synthetic,synthetic,synthetic
P00079,S00064,real_source,Property_00079,APARTMENT,Baksara,Kolkata,Super Area,250,1,1,0,1,Semi-Furnished,Bachelors/Family,Contact Owner,3500,True,10,2022-05-14,14.0,42000,6-10,False,False,False,True,True,False,False,False,2,synthetic,synthetic,synthetic
P00080,S02568,real_source,Property_00080,HOUSE,Uttam Nagar,Delhi,Super Area,200,2,1,3,5,Unfurnished,Bachelors/Family,Contact Owner,12000,False,11,2022-07-04,60.0,144000,11-20,False,False,False,True,False,False,True,True,3,synthetic,synthetic,synthetic
P00081,S02027,real_source,Property_00081,APARTMENT,"Murugeshpalya, Airport Road",Bangalore,Carpet Area,800,2,1,1,4,Semi-Furnished,Bachelors/Family,Contact Agent,16000,True,4,2022-06-16,20.0,192000,0-5,True,False,False,True,False,False,False,False,2,synthetic,synthetic,synthetic
P00082,S02695,real_source,Property_00082,HOUSE,Saket,Delhi,Carpet Area,1800,3,3,2,4,Semi-Furnished,Bachelors,Contact Agent,70000,True,4,2022-05-27,38.89,840000,0-5,True,True,True,False,True,False,True,False,5,synthetic,synthetic,synthetic
P00083,S01495,real_source,Property_00083,HOUSE,"L&T Emerald Isle, Powai",Mumbai,Carpet Area,2729,4,5,20,27,Semi-Furnished,Bachelors,Contact Agent,250000,True,29,2022-05-27,91.61,3000000,21+,False,False,True,False,False,True,False,True,3,synthetic,synthetic,synthetic
P00084,S00391,real_source,Property_00084,APARTMENT,Salt Lake City Sector 1,Kolkata,Super Area,1200,2,2,1,2,Semi-Furnished,Bachelors/Family,Contact Agent,22000,True,5,2022-07-04,18.33,264000,0-5,False,False,False,False,True,False,False,False,1,synthetic,synthetic,synthetic
P00085,S04514,real_source,Property_00085,PG,Dammaiguda,Hyderabad,Super Area,1060,2,2,2,5,Semi-Furnished,Bachelors/Family,Contact Owner,8500,True,8,2022-05-12,8.02,102000,6-10,False,False,True,True,True,True,False,False,4,synthetic,synthetic,synthetic
P00086,S04474,real_source,Property_00086,VILLA,Gachibowli,Hyderabad,Carpet Area,2352,3,4,1,5,Semi-Furnished,Family,Contact Owner,45000,True,4,2022-06-21,19.13,540000,0-5,False,False,True,True,True,False,False,True,4,synthetic,synthetic,synthetic
P00087,S03561,real_source,Property_00087,APARTMENT,Madambakkam,Chennai,Super Area,850,1,1,0,1,Unfurnished,Bachelors/Family,Contact Owner,10000,True,22,2022-05-12,11.76,120000,21+,True,True,True,False,False,True,False,True,5,synthetic,synthetic,synthetic
P00088,S02278,real_source,Property_00088,APARTMENT,"Aecs Layout-Singasandra, Singasandra, Hosur Road",Bangalore,Super Area,750,1,1,2,4,Semi-Furnished,Bachelors/Family,Contact Owner,8200,True,4,2022-05-30,10.93,98400,0-5,True,False,True,False,False,True,True,False,4,synthetic,synthetic,synthetic
P00089,S03099,real_source,Property_00089,APARTMENT,Iyyappanthangal,Chennai,Super Area,1250,3,2,2,3,Semi-Furnished,Bachelors/Family,Contact Owner,15000,True,24,2022-05-12,12.0,180000,21+,False,True,False,True,True,True,False,False,4,synthetic,synthetic,synthetic
P00090,S00200,real_source,Property_00090,APARTMENT,jadavpur central park east,Kolkata,Carpet Area,400,1,1,0,1,Unfurnished,Bachelors/Family,Contact Owner,5500,True,2,2022-05-26,13.75,66000,0-5,False,False,True,False,False,False,False,False,1,synthetic,synthetic,synthetic
P00091,S03104,real_source,Property_00091,HOUSE,Velachery,Chennai,Super Area,1162,2,2,2,4,Semi-Furnished,Bachelors/Family,Contact Agent,20000,True,14,2022-07-02,17.21,240000,11-20,True,False,False,False,True,False,False,False,2,synthetic,synthetic,synthetic
P00092,S04598,real_source,Property_00092,PG,"Narsingi, Outer Ring Road",Hyderabad,Super Area,1834,3,3,12,30,Semi-Furnished,Bachelors/Family,Contact Agent,44000,True,2,2022-06-29,23.99,528000,0-5,True,True,True,True,False,True,True,False,6,synthetic,synthetic,synthetic
P00093,S02454,real_source,Property_00093,APARTMENT,Palam,Delhi,Super Area,200,2,2,1,3,Unfurnished,Bachelors/Family,Contact Owner,9000,True,20,2022-05-27,45.0,108000,11-20,False,False,True,True,False,False,False,True,3,synthetic,synthetic,synthetic
P00094,S03645,real_source,Property_00094,PG,T Nagar,Chennai,Super Area,502,1,1,1,1,Unfurnished,Bachelors/Family,Contact Owner,10000,False,8,2022-05-26,19.92,120000,6-10,True,False,True,False,True,True,True,False,5,synthetic,synthetic,synthetic
P00095,S00804,real_source,Property_00095,APARTMENT,"Challenger Tower, Thakur Village, Kandivali East",Mumbai,Carpet Area,1325,3,3,3,28,Furnished,Bachelors/Family,Contact Agent,50000,True,9,2022-06-23,37.74,600000,6-10,False,False,False,False,False,False,False,False,0,synthetic,synthetic,synthetic
P00096,S02731,real_source,Property_00096,PG,Bhajanpura,Delhi,Super Area,450,1,1,1,4,Unfurnished,Bachelors/Family,Contact Owner,5000,False,7,2022-04-29,11.11,60000,6-10,False,True,True,False,False,True,False,False,3,synthetic,synthetic,synthetic
P00097,S02773,real_source,Property_00097,APARTMENT,"Khanpur, Madangir",Delhi,Super Area,200,2,2,1,5,Unfurnished,Bachelors/Family,Contact Owner,10000,False,2,2022-05-05,50.0,120000,0-5,False,True,False,False,False,False,False,True,2,synthetic,synthetic,synthetic
P00098,S01570,real_source,Property_00098,APARTMENT,Subramanyapura,Bangalore,Super Area,1430,3,2,3,4,Semi-Furnished,Bachelors/Family,Contact Owner,24000,False,4,2022-07-04,16.78,288000,0-5,False,True,False,True,False,False,True,False,3,synthetic,synthetic,synthetic
